name,kitchen,webpage,hidden,music_type,type,address
Everest,Няма,Начало / Заведения / Бързо хранене,FALSE,Няма,Ресторанти,"София ул. Искър 7"
Everest 2,Няма,Начало / Заведения / Бързо хранене,FALSE,Няма,Ресторанти,"София бул. Христо Смирненски 48"
Evergreen,Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София Студентски град, бл. 57, вх. А"
Exe Club,Няма,Начало / Заведения / Kлубове,FALSE,Няма,Клубове и барове,"София ул. Шипка 6"
eXploring агенция за приключения,Няма,Няма,FALSE,Няма,В движение,
Extreme Bulgaria,Няма,Няма,FALSE,Няма,В движение,
Extreme клуб,Няма,Начало / Слово / Други места,TRUE,Няма,Други места,"София ул. Карнеги 10"
Fabrica 126,Няма,Няма,FALSE,Няма,Клубове и барове,
Face,Няма,Начало / Заведения / Bar & Diner,FALSE,Няма,Ресторанти,"София ул. Маджарица 57"
Faces,Няма,Начало / Заведения / Kлубове,TRUE,Няма,Клубове и барове,"София бул. Васил Левски 67"
Fame,Няма,Начало / Заведения / Ресторанти,TRUE,Няма,Ресторанти,"София бул. Патриарх Евтимий 76"
Fame,Няма,Начало / Заведения / Пицарии,FALSE,Няма,Ресторанти,"София Студентски град до бл. 12"
Fancy Center,Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София бул. Цар Освободител 10"
Fancy City Center,"интернационална,",Начало / Заведения / Ресторанти,TRUE,"поп,",Ресторанти,"София City Center Sofia, бул. Арсеналски 2"
Fancy Park,Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София кв. Лозенец, ул. Свети Седмочисленици 2"
Fancy The Mall,Няма,Начало / Заведения / Ресторанти,TRUE,Няма,Ресторанти,"София бул. Цариградско шосе 115, The Mall"
Farenah Concept,Няма,Начало / Изложби / Галерии,TRUE,Няма,Други места,"София бул. България 118"
Farenah Concept,Няма,Начало / Слово / Други места,TRUE,Няма,Други места,"София ул. Съборна 1А"
Farmer's,Няма,Начало / Заведения / Бързо хранене,FALSE,Няма,Ресторанти,"София ул. Цар Иван Шишман 23"
Farmer’s Гарибалди,Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София площад Гарибалди"
Fibonacci Bar & Food,Няма,Начало / Заведения / Bar & Diner,FALSE,Няма,Клубове и барове,"София Братя Миладинови 12Б"
Five High Skatepark,Няма,Начало / Слово / Други места,FALSE,Няма,Други места,"София ул. Владайска река 4"
Flash билярд център,Няма,Начало / Заведения / Bar & Play,FALSE,Няма,В движение,"София бул. България 49А"
Flip Flop,Няма,Начало / Заведения / Kлубове,FALSE,Няма,Клубове и барове,"София ул. Оборище 61"
Flocafe Lounge Bar and Restaurant,Няма,Начало / Заведения / Кафетерии,TRUE,Няма,Ресторанти,"София пл. Света Неделя 3"
Flocafe Lounge Bar and Restaurant 2,Няма,"Начало / Заведения / Kлубове Начало / Заведения / Bar & Diner",TRUE,Няма,Ресторанти,"София бул. Цариградско шосе 115, The Mall"
Flowers,Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София ж.к. Люлин 10, мебелен център Лабиринт, бул. Д-р Петър Дертлиев 25"
Fondente,Няма,Начало / Заведения / Bar & Diner,TRUE,Няма,Ресторанти,"София Княз Александър I 4"
Forno Cipollini,Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София ул.Оборище 36А"
Franco's,Няма,Начало / Заведения / Пицарии,FALSE,Няма,Ресторанти,"София Хан Аспарух 37"
Funcity,Няма,Няма,TRUE,Няма,В движение,"София ул. Цар Калоян 8"
Funky Kitchen,Няма,Начало / Заведения / Ресторанти,TRUE,Няма,Ресторанти,"София ул. Стефан Караджа 26"
FX Cinema (София),Няма,Начало / Кино / Kино салони,TRUE,Няма,Кина,"София ул. Ангел Кънчев 5"
G-8 Cinema,Няма,"Начало / Кино / Kино салони Начало / Изложби / Галерии",FALSE,Няма,Кина,"София ул. Гладстон 8"
G.RUFF DANCE RECORDS SHOP,Няма,Няма,TRUE,Няма,В движение,"София ул.Герлово 4"
Gaba,Няма,Начало / Заведения / Kлубове,FALSE,Няма,Клубове и барове,"София ул. 6-ти Септември 44"
Galaxy Bowling Club,Няма,Начало / Заведения / Bar & Play,FALSE,Няма,В движение,"София бул. България 1"
Galera,Няма,Начало / Заведения / Ресторанти,TRUE,Няма,Ресторанти,"София ул. Асен Златаров 24"
Gallery 2.0,Няма,Начало / Изложби / Галерии,FALSE,Няма,"Галерии, музеи, зали","София ул. Шести септември 26"
Gallery No14,Няма,Начало / Изложби / Галерии,TRUE,Няма,"Галерии, музеи, зали","София ул. Д. Манов 10"
Gammallery Art Center,Няма,Начало / Изложби / Галерии,TRUE,Няма,"Галерии, музеи, зали","София бул. Евлоги Георгиев 18"
Gastrobar 6,Няма,Начало / Заведения / Бързо хранене,FALSE,Няма,Ресторанти,"София Хан Крум 6"
Gastrothèque L'Art de Vivre (временно затворен),"френска кухня,",Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София бул. Патриарх Евтимий 76"
Gelateria Confetti,Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София ул. Граф Игнатиев 4"
Generator,Няма,Начало / Слово / Други места,FALSE,Няма,Други места,"София бул. Черни връх 47"
Geppy,Няма,Начало / Заведения / Bar & Diner,FALSE,Няма,Ресторанти,"София ул. Акад. Борис Стефанов 13"
Gifted,Няма,"Начало / Слово / Други места Начало / Изложби / Галерии",FALSE,Няма,Други места,"София ул. Иван Денкоглу 24"
Glass Design,Няма,Начало / Изложби / Галерии,TRUE,Няма,"Галерии, музеи, зали","София кв. Манастирски ливади, бл. 66 (вход откъм бул. България)"
Globus,"европейска, интернационална, българска,",Начало / Заведения / Ресторанти,TRUE,"chillout, италианска , френска,",Ресторанти,"София кв. Иван Вазов, ул. Ярослав Вешин 48"
Gloria Mar,Няма,Начало / Заведения / Ресторанти,TRUE,Няма,Ресторанти,"София ул. Славянска 29"
Glossary Depot,Няма,Начало / Слово / Други места,FALSE,Няма,Други места,"София ул. Веслец 84"
Golden Nero,Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София бул. Витоша 180"
"Gologan Productions, Великобритания",Няма,Начало / Сцена / Гостуващи театри,TRUE,Няма,Театри,
Gramophone,Няма,Начало / Заведения / Kлубове,FALSE,Няма,Клубове и барове,"София ул. Будапеща 6"
Grand Cafe,Няма,Начало / Заведения / Кафетерии,FALSE,Няма,Ресторанти,"София ул. Гурко 1, Гранд Хотел София"
Grape Central,Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София ул. Цар Самуил 45"
Graphite,Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София ул. Три Уши 2"
Green Deli & Bar,Няма,Начало / Заведения / Bar & Diner,FALSE,Няма,Ресторанти,"София бул. Драган Цанков 23"
Green Deli Café 1,Няма,Начало / Заведения / Кафетерии,FALSE,Няма,Ресторанти,"София бул. Черни Връх 32"
Green Deli Café 2,Няма,Начало / Заведения / Кафетерии,FALSE,Няма,Ресторанти,"София бул. Ал.Стамболийски 31"
Green Deli Café 3,Няма,Начало / Заведения / Кафетерии,FALSE,Няма,Клубове и барове,"София Бизнес парк София, сграда 5"
Green Deli Café 4,Няма,Начало / Заведения / Кафетерии,FALSE,Няма,Клубове и барове,"София Софроний Врачански 62"
GreenCat Gallery,Няма,Начало / Изложби / Галерии,TRUE,Няма,"Галерии, музеи, зали","София ул. Върбица 6"
GreenCat Gallery - Arena di Serdica Residence Hotel,Няма,Начало / Изложби / Галерии,TRUE,Няма,"Галерии, музеи, зали","София 1000 ул. Будапеща 2-4"
GreenCat Gallery - Hilton,Няма,Начало / Изложби / Галерии,TRUE,Няма,"Галерии, музеи, зали","София бул. България 1"
GreenCat Gallery - Кристал Палас Бутик Хотел,Няма,Начало / Изложби / Галерии,TRUE,Няма,"Галерии, музеи, зали","София ул. Шипка 14"
Greenville,Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София ул. Атанас Дуков 36"
Grindhouse Skateclub,Няма,"Начало / Заведения / Kлубове Начало / Заведения / Bar & Play",FALSE,Няма,Клубове и барове,"София бул. Цариградско шосе 73"
GT Гент (Белгия),Няма,Начало / Сцена / Гостуващи театри,TRUE,Няма,Театри,
Gurkha,Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София кв. Лозенец, ул. Цветна градина 56"
Habitat,Няма,Начало / Заведения / Kлубове,TRUE,Няма,Клубове и барове,"София ул. Стефан Караджа 26"
Hacienda Club,Няма,Начало / Заведения / Kлубове,FALSE,Няма,Клубове и барове,"София пл. Народно събрание №3"
Haiku Sushi,Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София Лозенец, Св. Теодосий Търновски 60"
Hamachi,Няма,Начало / Заведения / Ресторанти,TRUE,Няма,Ресторанти,"София кв. Лозенец, ул. Орфей 3"
Hamachi-ni,"интернационална, японска, суши,",Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София Г.С.Раковски 179"
Happy Bar & Grill 5,Няма,Начало / Заведения / Ресторанти,TRUE,Няма,Ресторанти,"София магистрала Тракия, 1-ви километър"
Happy Mall Sofia,"интернационална,",Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София бул. Ал. Стамболийски 101"
Happy Paradise,Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София Paradise Center, ет. 2, Бул. Черни връх 100"
Happy South Park,Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София ул. Богатица 36"
Happy Sushi,Няма,Начало / Заведения / Ресторанти,TRUE,Няма,Ресторанти,"София бул. Г.С. Раковски 96"
Happy Sushi Карфур,Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София The Mall, бул. Цариградско шосе 115"
Happy Sushi Кемпински,Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София Бул. Джеймс Баучер 100"
Happy Аско Деница,"интернационална,",Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София кв. Младост 3, комплекс Нова Деница"
Happy Будапеща,"интернационална,",Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София ул. Раковски 145"
Happy Бъкстон,Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София бул. Тодор Каблешков 53"
Happy Виктория,"средиземноморска,",Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София бул. Пенчо Славейков 12-14"
Happy Люлин,Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София Бул. Джавахарлал Неру 6"
Happy Рубин,"интернационална,",Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София пл. Св. Неделя 4"
Hasienda,Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София бул. Цар Борис III 94"
Havana Cigar & Piano Bar,Няма,Начало / Заведения / Kлубове,FALSE,Няма,Клубове и барове,"София бул. Витоша 27"
Heart Gallery,Няма,Начало / Изложби / Галерии,FALSE,Няма,"Галерии, музеи, зали","София бул. Витоша 124"
HebrosArt Club Gallery,Няма,Начало / Изложби / Галерии,TRUE,Няма,"Галерии, музеи, зали","София бул. Цариградско шосе 149, х-л Expo"
Hedon,Няма,Начало / Заведения / Ресторанти,TRUE,Няма,Ресторанти,"София бул. България 56А"
Hedon,"европейска,",Начало / Заведения / Kлубове,FALSE,Няма,Клубове и барове,"София бул. България 56А"
Hill Hotel,Няма,Начало / Слово / Други места,FALSE,Няма,Други места,"София бул. Джейвс Баучер 76Б"
Hilton Hotel,Няма,Начало / Слово / Други места,FALSE,Няма,Други места,
Hilton Hotel,Няма,Начало / Слово / Други места,FALSE,Няма,Други места,"София бул. България 1"
Hip Hip Atelier,Няма,Начало / Слово / Други места,FALSE,Няма,Други места,"София ул. Княз Борис I 166"
Hip Hip Library & Bar,Няма,Начало / Заведения / Bar & Diner,FALSE,Няма,Клубове и барове,"София ул. Кърниградска 2"
Homo adventuricus,Няма,Няма,FALSE,Няма,В движение,
Hot Spot Books&Art,Няма,Начало / Слово / Други места,FALSE,Няма,Други места,
Hotel Expo,Няма,Начало / Слово / Други места,FALSE,Няма,Други места,
Human Think/gs,Няма,Начало / Изложби / Галерии,FALSE,Няма,"Галерии, музеи, зали","София ул. Веслец 40"
Hunt,Няма,Начало / Заведения / Kлубове,TRUE,Няма,Клубове и барове,"София пл. България 1"
I AM STUDIO,Няма,Начало / Сцена / Театри,FALSE,Няма,Други места,"София ул. Раковска 149"
Ice Park Nescafe 3 in 1,Няма,Няма,TRUE,Няма,В движение,"София Английска градина зад НДК"
ID Club,Няма,Начало / Заведения / Kлубове,FALSE,Няма,Клубове и барове,"София ул. Кърниградска 19Б"
Igloo,Няма,Начало / Заведения / Kлубове,TRUE,Няма,Клубове и барове,"София ул. Гургулят 27"
III етаж,Няма,Начало / Заведения / Bar & Diner,FALSE,Няма,Клубове и барове,"София 1220 Бул. Ломско шосе 2А"
III етаж bar & dinner,Няма,Начало / Заведения / Bar & Diner,FALSE,Няма,Ресторанти,"София бул. Ломско шосе, 2А"
Il Forno,Няма,Начало / Заведения / Пицарии,FALSE,Няма,Ресторанти,"София ул. Стефан Тошев 1А"
Il Giardino,Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София ул. Невестина скала 16"
Il Mondo,Няма,Начало / Заведения / Bar & Diner,FALSE,Няма,Клубове и барове,"София ул. Леге 15"
Il Picco Sasso,Няма,Начало / Заведения / Ресторанти,TRUE,Няма,Ресторанти,"София бул. Витоша 150, блок 70"
Independent Studio Tattoo Shop & Gallery,Няма,Начало / Слово / Други места,FALSE,Няма,Други места,"София ул. Цар Иван Шишман 38"
Infinity,Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София кв. Манастирски ливади, бул. България, кв. Бокар 27"
Ink Bar,Няма,Начало / Заведения / Kлубове,FALSE,Няма,Клубове и барове,"София ул. 6-ти септември 55"
Intrigue,Няма,Начало / Заведения / Bar & Diner,FALSE,Няма,Ресторанти,"София бул. Витоша 102"
Intro,Няма,Начало / Изложби / Галерии,FALSE,Няма,"Галерии, музеи, зали","София ул. Цар Самуил 28"
Irish Harp,Няма,"Начало / Заведения / Ирландски кръчми Начало / Заведения / Бирарии",FALSE,Няма,Клубове и барове,"София ул. Света София 7"
J.J. Murphy’s – 48 Shipka str.,Няма,Начало / Заведения / Бирарии,FALSE,Няма,Клубове и барове,"София Шипка 48"
J.J.Murphy&Co's,Няма,Начало / Заведения / Бирарии,FALSE,Няма,Клубове и барове,"София ул. Кърниградска 6"
Jasmine,Няма,Начало / Заведения / Bar & Diner,FALSE,Няма,Ресторанти,"София Раковски 114"
Jim Beam Club Center,Няма,Начало / Заведения / Kлубове,TRUE,Няма,Клубове и барове,"София бул. Витоша 31-33"
Jim Beam Club Студентски град,Няма,Начало / Заведения / Kлубове,TRUE,"поп, dance, ретро, house,",Клубове и барове,"София Студентски град, ул. Атанас Манчев 3"
Jimmy's & Panini 2,Няма,Начало / Заведения / Сладкарници,FALSE,Няма,Ресторанти,"София Кино Арена, бул. Тодор Александров 64, 2-ри етаж"
Jimmy's & Panini 3,Няма,Начало / Заведения / Сладкарници,FALSE,Няма,Ресторанти,"София ул. Шипка 18"
Jimmy's 1,Няма,Начало / Заведения / Сладкарници,FALSE,Няма,Ресторанти,"София ул. Ангел Кънчев 11"
