name,kitchen,webpage,hidden,music_type,type,address
Bitburger,"интернационална,",Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София ул. Стефан Караджа 20"
Black Box,Няма,Начало / Заведения / Kлубове,TRUE,Няма,Клубове и барове,"София ул. Пиротска 5"
Black Label Whisky Bar,Няма,Начало / Заведения / Kлубове,FALSE,"chillout,",Клубове и барове,"София бул. Цар Освободител 7"
Blender,Няма,Начало / Заведения / Kлубове,TRUE,"диско, house,",Клубове и барове,"София бул. България 1, НДК, подлез с фонтаните"
Blue Moon Thai Restaurant,Няма,Начало / Заведения / Ресторанти,TRUE,Няма,Ресторанти,"София ул. Г.С. Раковски 127"
"Blue Raincoat, Северна Ирландия",Няма,Начало / Сцена / Гостуващи театри,TRUE,Няма,Театри,
Bocconcino,Няма,Начало / Заведения / Ресторанти,TRUE,Няма,Ресторанти,"София ул. Ангел Кънчев 8"
Bold,Няма,Начало / Изложби / Галерии,FALSE,Няма,"Галерии, музеи, зали","София Христо Смирненски 58"
Boom! Burgers & Booze,Няма,"Начало / Заведения / Ресторанти Начало / Заведения / Bar & Diner",FALSE,Няма,Ресторанти,"София Цар Освободител 12"
Boom! Burgers & Steaks,Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София ул. Кърниградска 15"
Boulderland,Няма,Начало / Слово / Други места,FALSE,Няма,Други места,"София бул. Черни връх 100 (Парадайс център)"
Boutique Café Elegance,Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София бул. Витоша 85"
Boutique Lounge Bar,Няма,Начало / Заведения / Bar & Diner,FALSE,"lounge,",Клубове и барове,"София бул. Витоша 18"
Brasserie,Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София бул. Александър Малинов 111, Хотел Holiday Inn Sofia"
Brasserie,"европейска,",Начало / Заведения / Ресторанти,TRUE,Няма,Ресторанти,"София ул. Райко Даскалов 3"
Brasserie Deja Vu,"интернационална,",Начало / Заведения / Ресторанти,TRUE,Няма,Ресторанти,"София ул. Аксаков 15А"
Brave Creation,Няма,Начало / Слово / Други места,FALSE,Няма,Други места,"София Хан Крум 4"
Brave Moustache,Няма,Начало / Изложби / Галерии,TRUE,Няма,"Галерии, музеи, зали","София Г.С.Раковски 122Б (вход откъм Хан Крум)"
Bridge Bar,Няма,Начало / Заведения / Bar & Play,TRUE,Няма,Клубове и барове,"София бул. България 2"
BUD.KO,Няма,Начало / Слово / Други места,FALSE,Няма,Други места,"София ул. Стара Планина 5"
Bulgaria Mall,Няма,Начало / Слово / Други места,FALSE,Няма,Други места,"София бул. България 69"
Burj,Няма,Начало / Заведения / Ресторанти,TRUE,Няма,Ресторанти,"София ж.к. Хиподрума, бул. Акад. Иван Евстатиев Гешов 44, ет. 2"
By The Way,Няма,Начало / Заведения / Kлубове,FALSE,Няма,Клубове и барове,"София ул. Георги С. Раковски 166"
Cabaret,Няма,Начало / Заведения / Kлубове,FALSE,Няма,Клубове и барове,"София ул. Христо Белчев 12"
Cabra,Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София ул. Оборище 18"
Caché,Няма,Начало / Заведения / Bar & Diner,FALSE,"house,",Клубове и барове,"София бул. Арсеналски 2"
Cactus 1,Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София ул. Христо Белчев 20"
Cactus 2,Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София пл. Папа Йоан Павел ІІ 2, ул. Милин Камък"
Café London,Няма,Начало / Заведения / Кафетерии,FALSE,Няма,Ресторанти,"София бул. Г.М.Димитров 16А"
Café Sofia,Няма,Начало / Заведения / Кафетерии,FALSE,Няма,Ресторанти,"София бул. Витоша 17"
Cafe Wien,"европейска,",Начало / Заведения / Сладкарници,FALSE,"класическа ,",Ресторанти,"София ул. Московска 29"
Cakey Bakey,Няма,Начало / Заведения / Сладкарници,FALSE,Няма,Ресторанти,"София ул. Искър 36"
Caldo уиски бар,Няма,Начало / Заведения / Kлубове,FALSE,Няма,Клубове и барове,"София ул. Раковски 125"
Camay Beach,Няма,Няма,FALSE,Няма,В движение,
Camino Piano Bar,Няма,Начало / Заведения / Kлубове,FALSE,"джаз, ретро,",Клубове и барове,"София ул. Неофит Рилски 70"
Camino Whiskey Bar & Dinner,"фюжън, средиземноморска, италианска,",Начало / Заведения / Bar & Diner,FALSE,"джаз, италианска ,",Ресторанти,"София ул. Неофит Рилски 70"
Canta Napoli,Няма,Начало / Заведения / Ресторанти,TRUE,Няма,Ресторанти,"София ул. Враня 26"
Capasca Магазин,Няма,Начало / Слово / Други места,FALSE,Няма,Други места,"София бул. Витоша 80"
Cargo,Няма,Начало / Заведения / Kлубове,FALSE,Няма,Клубове и барове,"София ул. Съборна 11"
Carrera Club,Няма,Начало / Заведения / Bar & Diner,FALSE,Няма,Клубове и барове,"София ул. Верила 5"
Carrera Club - VIP Room,Няма,Начало / Заведения / Kлубове,TRUE,Няма,Клубове и барове,"София ул. Верила 5"
Carrusel Club,Няма,Начало / Заведения / Kлубове,FALSE,Няма,Клубове и барове,"София ул. Георги Раковски 108"
"CARVE Ski, Board & Bar",Няма,Начало / Заведения / Bar & Play,FALSE,Няма,Клубове и барове,"София ул. Коста Лулчев 52 (отдясно на Sky City Mall)"
Casa de Cuba,Няма,Начало / Заведения / Kлубове,FALSE,"латино,",Клубове и барове,"София ул. Цветна градина 1"
Casa Domingo,Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София ул. Ивац Войвода 2"
Casa Mia,Няма,Начало / Заведения / Пицарии,FALSE,Няма,Ресторанти,"София ж.к. Изгрев, ул. Жолио Кюри 86"
Casa Pizza,"европейска,",Начало / Заведения / Пицарии,FALSE,Няма,Ресторанти,"София ул. Майор Горталов 1"
CDD Creative Atelier,Няма,Начало / Слово / Други места,FALSE,Няма,Други места,"София бул. България 88"
Century Snooker & Billiard Club,"европейска,",Начало / Заведения / Bar & Play,FALSE,"джаз, house, chillout,",В движение,"София бул. Сливница 186"
Checkpoint Charly,"вегетарианска, европейска, интернационална, българска,",Начало / Заведения / Ресторанти,FALSE,"джаз,",Ресторанти,"София ул. Иван Вазов 12"
Cheerleaders Sports Bar & Grill,Няма,Начало / Заведения / Bar & Diner,FALSE,Няма,Клубове и барове,"София Мария Луиза 2 (Цум партер)"
Chez Fefe macarons & cafe Бутик Солунска,Няма,Начало / Заведения / Сладкарници,FALSE,Няма,Други места,"София ул. Солунска 12"
Chez Fefe macarons & cafe Киоск The Mall,Няма,Начало / Заведения / Сладкарници,FALSE,Няма,Ресторанти,"София бул. Цариградско шосе 115A, The Mall, ниво 2"
Chez Fefe macarons & cafe Киоск Сердика Център,Няма,Начало / Заведения / Сладкарници,TRUE,Няма,Ресторанти,"София бул. Ситняково 48, Сердика Център, ниво 1"
Chicago piano bar,Няма,Начало / Заведения / Kлубове,FALSE,"джаз, поп,",Клубове и барове,"София бул. Дондуков 9"
Chillout Cafe,Няма,"Начало / Заведения / Kлубове Начало / Заведения / Bar & Diner",FALSE,"chillout,",Клубове и барове,"София ул. Баба Неделя 6, зад пилоните на НДК"
Chocolate lounge,Няма,Начало / Заведения / Kлубове,TRUE,Няма,Клубове и барове,"София ул. Георги Сава Раковски 193"
Chocolaterie Amelie,Няма,"Начало / Заведения / Сладкарници Начало / Заведения / Кафетерии",FALSE,Няма,Ресторанти,"София ул. Сан Стефано 15"
Chucky's Coffee & Ride,Няма,Начало / Заведения / Кафетерии,FALSE,Няма,Клубове и барове,"София ул. 20-ти април 13"
Chucky's Coffee House,Няма,Начало / Заведения / Кафетерии,FALSE,Няма,Клубове и барове,"София Христо Белчев 29"
Chucky's Coffee Store,Няма,Начало / Заведения / Кафетерии,FALSE,Няма,Клубове и барове,"София ул. Казбек 61"
Ciccione,"средиземноморска, италианска,","Начало / Заведения / Бързо хранене Начало / Заведения / Bar & Diner",FALSE,Няма,Клубове и барове,"София ул. Ген. Йосиф В. Гурко 9"
Ciccione Panini Bar&Bakery,Няма,Начало / Заведения / Бързо хранене,FALSE,Няма,Ресторанти,"София бул. Ген. Йосиф В.Гурко 9"
Ciccione Panini Bar&Bakery 1,"италианска,",Начало / Заведения / Бързо хранене,FALSE,"джаз, италианска ,",Ресторанти,"София ул. Христо Белчев 6"
Ciccione Panini Bar&Bakery 2,Няма,Начало / Заведения / Бързо хранене,FALSE,Няма,Ресторанти,"София Бизнес парк, Сграда 10"
Cine Grand Park Center,Няма,Начало / Кино / Kино салони,FALSE,Няма,Кина,"София бул. Арсеналски 2 (City Center Sofia, етаж 2 )"
Cine Grand Sofia Ring Mall,Няма,Начало / Кино / Kино салони,FALSE,Няма,Кина,"София Sofia Ring Mall, бул. Околовръстен път 214, етаж 2"
Cinecitta Osteria Italiana,"италианска,",Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София кв. Бояна, ул. Кумата 75"
Cinema City Paradise,Няма,Начало / Кино / Kино салони,FALSE,Няма,Кина,"София бул. Черни връх 100, в сградата на Paradise Center"
Cinema City Paradise 4DX,Няма,Начало / Кино / Kино салони,FALSE,Няма,Кина,"София бул. Черни връх 100, в сградата на Paradise Center"
Cinema City Sofia,Няма,Начало / Кино / Kино салони,FALSE,Няма,Кина,"София Мол София, бул. Ал. Стамболийски 101"
Cinema City Sofia IMAX,Няма,Начало / Кино / Kино салони,FALSE,Няма,Кина,"София Мол София, бул. Ал. Стамболийски 101"
City,Няма,Начало / Изложби / Галерии,TRUE,Няма,"Галерии, музеи, зали","София ул. Франсис де Пресансе 12"
City Center Sofia,Няма,Начало / Слово / Други места,FALSE,Няма,Други места,"София 1421 бул. Арсеналски 2"
City Stage,Няма,Начало / Заведения / Kлубове,FALSE,Няма,Клубове и барове,"София пл. България 1, в подлеза до бул. Витоша"
Claire Cafe,Няма,"Начало / Заведения / Сладкарници Начало / Заведения / Кафетерии",FALSE,Няма,Ресторанти,"София бул. Витоша 139"
Classic,"интернационална,",Начало / Заведения / Пицарии,FALSE,Няма,Ресторанти,"София ул. Сердика 14"
Club Camay Fusion,Няма,Начало / Заведения / Kлубове,FALSE,Няма,Клубове и барове,"София кв. Слатина, ул. Слатинска 1"
Club Melo,Няма,"Начало / Заведения / Kлубове Начало / Заведения / Bar & Play",FALSE,Няма,Клубове и барове,"София ул. Малко Търново 2"
CO-CO Sweet and More,Няма,Начало / Заведения / Сладкарници,FALSE,Няма,Ресторанти,"София ул. Генерал Йосиф В. Гурко 44"
Cocorico,Няма,Начало / Заведения / Кафетерии,FALSE,Няма,Ресторанти,"София кв. Павлово, ул. Генерал Суворов 117"
Coda,Няма,Начало / Заведения / Kлубове,FALSE,Няма,Клубове и барове,"София ул. Лавеле 19"
Coffe Place,Няма,Начало / Заведения / Кафетерии,FALSE,Няма,Ресторанти,ул. Гургулят 27
